Date,Ticker,Strategy
2026-06-30,TORNTPHARM.NS,SCALP
2026-06-30,ASIANPAINT.NS,SCALP
2026-06-30,LAURUSLABS.NS,SCALP
2026-06-30,UTKARSHBNK.NS,SCALP
2026-06-30,PVRINOX.NS,SCALP
2026-06-30,PFIZER.NS,SCALP
2026-06-30,GLAXO.NS,SWING
2026-06-30,HONAUT.NS,SWING
2026-06-30,ASHOKLEY.NS,SWING
2026-06-30,CHOLAFIN.NS,SWING
2026-06-30,ESCORTS.NS,MOMENTUM
2026-06-30,NESTLEIND.NS,SWING
2026-06-30,SAIL.NS,SWING
2026-06-30,BHARTIARTL.NS,SWING
2026-06-30,ABBOTINDIA.NS,SCALP
2026-06-30,DMART.NS,SCALP
2026-06-30,RATNAMANI.NS,SCALP
2026-06-30,TATAINVEST.NS,MOMENTUM
2026-06-30,BHARTIARTL.NS,SCALP
2026-06-30,DMART.NS,SWING
2026-06-30,RECLTD.NS,SCALP
2026-06-30,SONACOMS.NS,SCALP
2026-06-30,HINDPETRO.NS,SCALP
2026-06-30,VOLTAS.NS,SCALP
2026-06-30,DRREDDY.NS,SCALP
2026-06-30,PFC.NS,SCALP
2026-06-30,BIOCON.NS,SCALP
2026-06-30,BERGEPAINT.NS,SCALP
2026-06-30,AAVAS.NS,SCALP
2026-06-30,ESAFSFB.NS,MOMENTUM
2026-06-30,DIVISLAB.NS,SWING
2026-06-30,KOTAKBANK.NS,MOMENTUM
2026-06-30,GODREJPROP.NS,SWING
2026-06-30,THERMAX.NS,MOMENTUM
2026-06-30,NESCO.NS,SCALP
2026-06-30,KPITTECH.NS,MOMENTUM
2026-06-30,ZEEL.NS,SWING
2026-06-30,SAIL.NS,SCALP
2026-06-30,BANKBARODA.NS,MOMENTUM
2026-06-30,NTPC.NS,SCALP
2026-06-30,ASHOKLEY.NS,SCALP
2026-06-30,TRENT.NS,SWING
2026-06-30,BERGEPAINT.NS,SWING
2026-06-30,SCHAEFFLER.NS,SWING
2026-06-30,APOLLOHOSP.NS,SWING
2026-06-30,HEROMOTOCO.NS,SWING
2026-06-30,MGL.NS,SWING
2026-06-30,INDHOTEL.NS,SWING
2026-06-30,ULTRACEMCO.NS,SWING
2026-06-30,ICICIPRULI.NS,SWING
2026-06-30,TITAN.NS,SWING
2026-06-30,UJJIVANSFB.NS,SWING
2026-06-30,TORNTPOWER.NS,SWING
2026-06-30,MOTHERSON.NS,SWING
2026-06-30,BOSCHLTD.NS,MOMENTUM
2026-06-30,DABUR.NS,SWING
2026-06-30,ADANIENT.NS,SWING
2026-06-30,INDUSTOWER.NS,SWING
2026-06-30,INOXWIND.NS,SCALP
2026-06-30,APOLLOTYRE.NS,SWING
2026-06-30,COLPAL.NS,SCALP
2026-06-30,UJJIVANSFB.NS,SCALP
2026-06-30,DIVISLAB.NS,SCALP
2026-06-30,INDHOTEL.NS,SCALP
2026-06-30,GRANULES.NS,MOMENTUM
2026-06-30,AUROPHARMA.NS,SCALP
2026-06-30,CYIENT.NS,SCALP
2026-06-30,RATNAMANI.NS,MOMENTUM
2026-06-30,TIMKEN.NS,SCALP
2026-06-30,MARUTI.NS,SWING
2026-06-30,EICHERMOT.NS,SWING
2026-06-30,CANFINHOME.NS,MOMENTUM
2026-06-30,JINDALSTEL.NS,SWING
2026-06-30,SBIN.NS,SWING
2026-06-30,GRINDWELL.NS,SWING
2026-06-30,METROPOLIS.NS,MOMENTUM
